experiment,model,arm,dataset,top1_outcome,n,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger
ledger_handoff_rca,qwen3.6-27b,L_vis,aiops2022,incorrect,79,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_vis,aiops2025,correct,17,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_vis,aiops2025,incorrect,76,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_vis,re2_ob,correct,59,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_vis,re2_ob,incorrect,31,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_vis,re2_tt,correct,35,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.6-27b,L_vis,re2_tt,incorrect,55,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.8-27b,L_hyb,aegislab,correct,26,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.8-27b,L_hyb,aegislab,incorrect,70,,,,,,,,,,,,,,
ledger_handoff_rca,qwen3.8-27b,L_hyb,aiops2022,correct,26,,,,,,,,,,,,,,
