experiment,model,arm,dataset,root_service,n,ac1,mrr
direct_rca,gemma-4-26b-a4b,R,aiops2022,adservice,2,0,0.16666667
direct_rca,gemma-4-26b-a4b,R,aiops2022,adservice-0,1,0,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,adservice-1,3,0.66666667,0.66666667
direct_rca,gemma-4-26b-a4b,R,aiops2022,adservice2-0,1,1,1
direct_rca,gemma-4-26b-a4b,R,aiops2022,cartservice,5,0,0.2
direct_rca,gemma-4-26b-a4b,R,aiops2022,cartservice-0,2,0,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,cartservice2-0,1,0,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,checkoutservice,4,0.75,0.75
direct_rca,gemma-4-26b-a4b,R,aiops2022,checkoutservice-0,2,1,1
direct_rca,gemma-4-26b-a4b,R,aiops2022,checkoutservice-1,2,0,0.16666667
direct_rca,gemma-4-26b-a4b,R,aiops2022,currencyservice,2,0,0.125
direct_rca,gemma-4-26b-a4b,R,aiops2022,currencyservice-0,1,0,0
direct_rca,gemma-4-26b-a4b,R,aiops2022,currencyservice-1,2,0.5,0.5
